,,,,,,Race and Ethnicity (in percent),,Age Distribution (in percent),,,Education Attainment (in percent and for Veterans 25 years and older),,,
,Vietnam Veteran Population,Percent Female,Below Poverty Level,Disability Rate*,Median Personal Income,White,Black or African American,55 to 64 years,65 to 74 years,75 years and over,Less than High School Graduate,High School Graduate or Equivalent,Some College,Bachelor's Degree or Higher
Alabama,"121,206",3.9,9.2,36.3,"35,017",78.3,17.6,30.7,58.3,11,7.2,29.9,37.8,25
Alaska,"18,200",▪,▪,33.4,"49,174",89.8,▪,37.3,60.4,▪,▪,27,47.7,▪
Arizona,"171,498",2.9,7.1,34.8,"35,996",83.1,4.2,28,61.4,10.6,4.4,20.1,45.1,30.4
Arkansas,"71,133",▪,6.1,36.9,"30,003",85.7,9.7,34.2,57.7,8.1,7,36.6,36.1,20.3
California,"590,415",3.5,6.7,29.1,"40,381",72.4,7.6,29.8,61.3,8.8,4.8,18.6,43,33.6
Colorado,"127,217",5.1,5.3,28.9,"38,817",85.2,2.9,32,60,8,2.8,22.2,38.3,36.7
Connecticut,"68,480",▪,▪,25.1,"44,687",90.2,5.9,26.2,67.6,6.2,5.5,35.4,26.9,32.2
Delaware,"25,315",▪,▪,32.4,"41,936",77.8,17.9,32.3,59.4,▪,▪,36.6,35,24.9
District of Columbia,"9,056",▪,▪,33,"38,884",▪,71.8,▪,57,▪,▪,32.8,▪,34
Florida,"488,456",3,7.1,30.9,"34,958",84.9,7.7,28.2,61.2,10.7,5.2,29.2,36.6,29.1
Georgia,"206,915",3.1,7.5,32.5,"35,355",75.5,21.1,31.8,59.4,8.8,7.2,29.3,33.6,29.8
Hawaii,"29,747",▪,▪,25.2,"44,632",38.5,▪,29.8,61.9,8.3,▪,23.9,40.7,32.8
Idaho,"43,323",▪,7,32.2,"28,214",93.9,▪,31.3,63.3,5.4,7.2,24.9,42.7,25.2
Illinois,"217,275",2,5.1,29.9,"36,996",85,11.2,30.4,64.7,4.9,6,31.3,37.9,24.7
Indiana,"149,764",2,7,35.8,"32,940",89,7.1,34.6,60.5,4.8,6.6,40,34.2,19.2
Iowa,"72,483",▪,4.8,28.5,"34,317",95.7,▪,33.4,63.1,3.5,5.5,37.9,35.1,21.6
Kansas,"61,091",▪,6.1,29.8,"33,964",88.6,5.6,33.2,60.6,6.3,5.2,30.6,31.8,32.4
Kentucky,"97,726",3.1,9.4,36.2,"30,144",90.3,7.7,35.8,58,6.1,11.1,39.5,30.7,18.7
Louisiana,"92,724",2.9,10,34.8,"32,180",73.7,22.4,30.2,60.8,9.1,9.5,40.5,30.6,19.4
Maine,"42,871",▪,▪,35,"33,347",97.5,▪,27.2,62.8,10,6.1,36,36.9,21
Maryland,"111,086",5.6,5.1,25.9,"45,596",70.6,25.3,32,59.1,8.7,4.1,29,32,34.9
Massachusetts,"109,614",2.8,6.5,27.9,"39,508",94,3.1,27.9,66.9,5.2,6.2,29.3,33.7,30.9
Michigan,"225,688",2.5,6.3,30.1,"33,580",87.1,9.2,35.4,60.7,4,5.2,32.8,40.7,21.2
Minnesota,"116,679",3.1,2.5,27.8,"37,482",95.6,▪,31.8,63.1,5,3.6,35.2,36.4,24.9
Mississippi,"62,334",▪,9.2,41.8,"30,382",77.4,20.9,32,58.8,9.2,8,31.5,39,21.5
Missouri,"152,888",2.7,7.4,33.6,"32,660",89.2,7.6,35.6,59.6,4.6,7.3,36.2,31.8,24.8
Montana,"34,096",▪,▪,27.7,"30,966",93.9,▪,34.3,58.2,▪,▪,30.3,34.9,28.2
Nebraska,"40,376",▪,▪,32,"35,716",94.5,▪,24.4,68.1,7.4,5.4,30.9,35.7,28
Nevada,"73,745",5.4,7.8,36.6,"33,848",80.4,6.7,28.4,63.1,8.4,▪,27.3,44.5,24.9
New Hampshire,"36,775",▪,▪,27.9,"39,419",98.6,▪,26.6,63.5,9.8,▪,31,28.5,34.3
New Jersey,"127,441",2.1,5.1,22.7,"43,597",82.8,11.9,25.8,68.1,6.1,6.5,34.8,29.3,29.4
New Mexico,"58,550",▪,9.4,33,"32,362",64.8,▪,31.9,57,10.8,▪,26.1,39.8,31.2
New York,"263,243",2.6,5.6,27.3,"37,986",83.7,8.9,31.1,65,3.9,7.4,33,35,24.6
North Carolina,"229,211",4.2,8.5,32.7,"32,991",79.5,17,31.2,59.7,9.1,7.2,27.3,38.6,26.9
North Dakota,"16,712",▪,▪,26,"38,440",92.2,▪,37,57.4,▪,▪,36.2,34.1,25.9
Ohio,"266,592",2.6,5.6,29.4,"32,797",88.8,9.2,34,61.4,4.5,7.7,41.8,32.8,17.8
Oklahoma,"103,288",3,7.7,40.4,"34,915",83.1,6.3,35.1,57.3,7.2,7,27.9,40.6,24.5
Oregon,"121,069",5.6,7.8,35.1,"32,975",93.2,▪,32.9,61.5,5.6,4.1,24.4,45.9,25.6
Pennsylvania,"281,988",2.8,5.5,27.8,"35,392",89.2,8.1,32.2,62.4,5.3,6.9,43.4,28.4,21.3
Rhode Island,"23,613",▪,▪,33,"40,279",89.6,▪,33.3,59.1,▪,▪,37.1,25.7,29.9
South Carolina,"129,179",2.7,7.6,35.3,"34,436",81.6,17.2,28.5,62.4,9,7.9,26.9,37.4,27.8
South Dakota,"21,758",▪,▪,35.1,"37,477",93.9,▪,36.1,59.8,▪,▪,30.2,39.2,23.5
Tennessee,"165,797",3.6,8.7,35.7,"32,186",85.5,11.9,33.4,59.7,6.8,8.5,33,33.8,24.8
Texas,"490,515",3.9,6,35,"38,373",72.1,10.4,33,58,9,5.9,24.6,39.5,30
Utah,"40,648",▪,▪,31.2,"37,180",94.9,▪,27.8,63.3,8.9,▪,19.6,43.7,34.9
Vermont,"14,763",▪,▪,28.1,"30,518",95.6,▪,35.4,57.5,▪,▪,36.7,32.1,23.7
Virginia,"197,489",4.1,4.4,28.3,"47,165",78.7,17.1,27.4,60.3,12.2,5.7,26.4,32.3,35.7
Washington,"196,031",4.8,5.7,33,"40,166",89.1,3.5,34.2,56.3,9.5,4.6,21.9,41.7,31.7
West Virginia,"48,731",▪,6.7,38.1,"30,335",93.4,▪,30.1,65.7,▪,10.7,41.8,30.7,16.8
Wisconsin,"133,357",2.1,4.2,25.7,"35,450",94.4,3,34.6,62.5,2.9,4,38,37.4,20.7
Wyoming,"16,743",▪,▪,31.7,"35,301",92,▪,36.8,56.3,▪,▪,30.2,40.6,25.1
Puerto Rico,"30,770",▪,15.9,41.9,"19,375",▪,▪,22.9,68.6,8.6,▪,31.5,31.1,30.4
Grand Total,"6,645,664",,,,,,,,,,,,,
,,,,,,,,,,,,,,
NOTE:,,,,,,,,,,,,,,
 'N' means that the data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,,,
* A disability exists when an individual’s body limits their activities and restricts their full participation in their physical and social environment.,,,,,,,,,,,,,,
▪ This number was omited because fewer than 30 people were in this category.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source: https://catalog.data.gov/dataset/vietnam-veterans-by-state-2014/resource/697fa07d-74e1-41a2-86c7-a0847b03079c,,,,,,,,,,,,,,
